specimen,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9
1,174.53676176408467,-30.114036981688052,-2.1594569458962667,-15.003207829437486,14.452312489142141,4.898486507986309,19.588169019720702,16.579711213191043,-7.769580058631873
2,171.5840775207805,-32.22058537271412,1.9318480596569616,-16.66021451210956,14.479205366458057,4.040455096946796,17.094279253674838,15.902972941022458,-9.04443685738887
3,177.33034234329236,-33.986884578381925,3.3382625238803314,-17.098245358253024,12.820725964185153,4.108404341004881,17.28784773900435,17.095216793341187,-8.674748003305169
4,174.45392950469935,-30.784115646071488,2.9301244936826736,-15.850428424455536,14.125309217828077,2.1843544691974865,18.347163851561003,17.06610637379071,-8.241166201907937
5,167.66898022445636,-28.71707273749795,-1.1517922457078749,-15.179810731635634,15.413610749566399,4.7702262036830705,17.58461518276879,18.14910819500572,-8.968625919337658
6,171.71813149453735,-28.970117643153653,2.1508443844381437,-16.340371278867234,16.488409839909867,4.008511422105993,14.812463657816872,17.441093652215812,-8.272550054234554
7,172.18905823439718,-32.6843517610297,-1.2352343246043533,-15.49061381684714,16.381383820443993,4.63769525761634,16.29841619493142,17.662283076788817,-7.579174554674336
8,173.60850122040753,-31.227791102585307,0.8176690327124634,-16.10722613423794,16.42812399111461,5.086841240530296,17.399781096137524,17.803708441071453,-7.865648247190881
9,172.01167069028577,-31.13073580756121,2.58091612366521,-16.562008458736834,16.205433567792703,4.478831191779004,17.560033554657483,16.822310266740978,-8.70633534135034
10,169.8800492864201,-30.59694656401051,1.283495450634632,-17.488518905234567,14.675234643302659,6.087520826222276,18.351951186190355,17.864901267008204,-7.902583758877082
11,174.2550567029144,-30.640941816239955,1.1184953705003515,-14.82372410161868,12.840016885505607,0.7325108920963128,16.697426625224395,19.665388471836934,-9.10493846563606
12,171.52900464873193,-32.65039596373309,2.2634159359454102,-16.682956268153227,17.657013864679456,3.3586709780100468,16.356286084559375,15.588421536957426,-8.082718369007221
13,170.38910686576398,-34.086344356352576,-1.2807046793429873,-18.794101581797054,15.54248767203638,3.4950623704593884,18.409089440043182,15.943250442654797,-8.117803795810943
14,174.06234138648583,-30.219557529925133,1.1127649425965478,-18.709460963237323,16.609670155298847,3.500791261396416,17.289421201839023,16.747535722837927,-8.115833782896358
15,167.66768455141678,-30.838224618183947,-3.2442997655567734,-14.234999322367823,16.323334345377983,4.948502457500817,17.828983671018563,15.906217686946432,-8.532961521040892
16,167.89158631414324,-28.428434345869835,-0.8831208431864646,-16.073505631393193,14.854117374599557,2.301182984200853,16.6467437551646,16.716445996311734,-7.857352566493606
17,174.9910980017775,-33.16634343819399,-5.333961164000252,-21.775842880541013,10.693949508591935,6.700645395598043,19.04357980441061,17.294780342513462,-7.4090650248466625
18,172.41376006266125,-27.86789820199801,1.6761947393465988,-17.104162514199945,16.89023199853708,4.513884413760399,17.442934755903757,17.252176771762777,-8.81163554703115
19,172.1930393634261,-29.033901653575278,1.5254179664137446,-17.234411954539514,17.5937109228052,3.629931262998414,16.629496711231553,16.287406171442413,-8.383499775948946
20,172.45767228068036,-31.2373961065852,0.7041135785658481,-13.92955078082624,16.693305361701327,2.5516055411881884,19.93558635522021,17.795511778378067,-8.242767593772069
21,181.12855989346392,-33.879271500887185,3.91580770230685,-11.649428653283266,14.598956544700442,2.9831898172761173,18.410387555445325,17.28258209730528,-6.878811525830169
22,174.7157531297557,-33.86265913015934,0.6342931048655842,-15.046735656511274,16.229226192443253,3.3537786163930052,20.076292217333787,18.427285680891405,-8.941552589055604
23,171.12289708062102,-29.668004529782827,0.7729849837485077,-14.167244640974996,15.850365939197705,4.285714492066148,18.049668041429697,16.57493306763483,-8.525544190095259
24,169.3270836251522,-26.041541351680955,-2.573457980721943,-16.232450166705267,17.621897005939175,0.5828433336994472,18.212637333493426,17.05087386345039,-9.317635539559753
25,174.0819712137402,-33.60904290770232,-0.680264816246468,-15.348029823244719,16.201119660945555,4.432768626205483,15.321938784231476,16.64697737871269,-8.13113605681674
26,176.15884766159186,-30.394902331440218,-1.8822195148579146,-13.184638882397806,17.092728432279884,6.172242255690221,19.020298015685,17.125875745486702,-7.739997006653694
27,162.88944940450105,-27.72515089965401,1.136663785062809,-19.792745470908805,16.269945597291223,2.293726570557949,19.283529025709665,16.200207521388865,-6.992494241163251
28,169.49545216077237,-28.149274277699988,-1.0369461645611961,-18.97547622567925,16.47596346448367,2.6692994324229327,17.482049652621107,16.63742724737134,-8.427189454581132
29,169.69230476534113,-28.141684209280136,0.9721016186910134,-17.399500861959947,15.78977094080497,1.022391118932132,19.769504166874825,15.37412448796088,-6.116416659349264
30,164.57151838271182,-28.48491054313685,-1.4286308218045214,-15.20934237703326,17.495476856033207,2.144895523884026,18.985545229670276,15.40491416249894,-6.893876394396341
31,168.65641607939298,-32.35932671414754,5.260491932617979,-18.000769990199508,18.336983886713647,6.645659463372137,16.539634620704458,16.638769270237624,-7.90688752096623
32,175.03784708393727,-32.590775141836964,4.3977523036576995,-16.257486882285512,15.302294924566523,2.9689808963629587,18.185674203446816,17.45263089951172,-7.9428716313749455
33,166.6806485591021,-29.565319660431346,3.6279422678401394,-18.666771243130256,16.519216557758373,3.5442131415779445,19.506152526961824,16.546855938621878,-7.62552065224526
34,166.6759259820933,-26.39900452699823,0.7698379733438951,-19.22945536759367,14.588202301560509,2.6777519467434416,18.433906086023452,18.347978498684444,-8.221948874794466
35,170.41386859759712,-28.782108287105597,-3.8094388710425626,-14.195416690610553,17.406875813070652,5.79115587477131,19.577418288378354,17.783399058314302,-9.515279910490678
36,171.8447962195885,-30.380984034167312,-1.807278594246461,-14.762392573858186,14.535186573746678,2.919248763836226,20.555268362790933,14.901965226189134,-6.6269181218841
37,164.023857781651,-26.56860804347018,-1.532975189995101,-15.148673416660234,14.421235304007403,3.233075460647387,16.782499018222587,18.433882585796866,-7.8737361352801845
38,161.75393495750515,-29.920858885865748,-4.122097819347567,-17.387836235606862,16.456217093424964,2.2677675493741143,18.04639083754546,18.75630664370503,-9.619619433672323
39,154.45447288542906,-20.009166495745593,-2.165212712067404,-18.441138653018946,14.509372012797972,3.1725561377473195,17.431666139697622,20.053487661346875,-8.34763322618054
40,165.90004952057552,-27.39502153582648,-0.12429842111027156,-17.332555837647263,14.830081612788486,1.6485685527445422,17.36305921254463,18.53237087344578,-7.529258119842202
42,154.28009359771838,-26.719838614838537,-4.490963208174617,-12.634264656358397,15.502047091647503,7.665085818141216,17.962498585200322,16.2389791728517,-7.537024963564229
43,163.2155825530077,-26.989841044473202,-4.211601283905869,-15.455528424247177,13.978074405107215,0.9705112528561934,14.67647835076676,16.757652734904887,-7.36442461420254
45,164.76317906547413,-25.145734220020728,-3.8167994476942058,-15.849062080648725,15.602567368476016,3.712876399958435,18.25430588793865,18.027831483860513,-8.398702090459604
47,162.38380703701148,-36.10663552391387,3.5185081483946785,-15.495277235752667,15.384577952113032,3.664708348113932,18.448537033811466,15.547803964212498,-7.528513416859323
48,167.397106801638,-39.75690368226869,-8.52158021212194,-16.97266252109814,16.716898453113814,2.686246346683292,18.409925062338928,15.10592571110242,-8.363234778242974
49,166.7427239699725,-37.5943657442748,-4.432700011095936,-14.172394803632752,15.093306430679545,1.256373832640354,17.4505508691528,17.922702841024183,-8.775003505330902
50,164.34001273640493,-37.0399917234434,0.7094485915977096,-12.962269463238911,15.769794707935954,5.862511005516401,17.80307055200426,17.359514909136237,-8.05530512167972
51,164.20919711517874,-40.90279680348998,-5.408213260537748,-12.10286439662115,16.98260784167001,3.9530950065163077,18.922199798292304,15.654598122106005,-9.173913143293156
52,170.74563895926818,-42.620671301502725,0.9690737987313849,-19.357500086444592,15.497687578139043,2.9938144926114854,17.599645901615077,17.54495078970014,-8.19079733697453
53,166.83263041715247,-38.17864095687951,1.9449773786345501,-16.848755139026153,15.271978814371385,3.820837041706974,19.000413703098086,15.386708442041744,-8.572203092907978
54,173.94879457411855,-41.65484887006952,-0.8536579848530526,-15.673945347161578,12.674550293675047,2.5880962115408956,20.24354788973183,19.88225549843679,-10.290352525826197
55,176.90469163026066,-42.688905240112355,-4.090931569676333,-17.47317619400947,16.98457500133064,0.03751558804142752,17.385846752495986,17.19960080838634,-8.083236389226414
56,172.65682783449606,-40.836486644733064,-0.39685649801701484,-21.211521887240284,17.71794485832816,3.3646490370800866,18.039794230044084,16.349144269736403,-8.202431190223558
57,171.0805769736069,-42.557239167183354,1.449305335448389,-11.99874815745693,14.526915884085858,5.106770237057574,17.111718386415745,18.674649213098547,-7.624520759877145
58,169.59113130673765,-40.9319797194406,-2.136064650541285,-18.625850991380155,12.30102784541708,6.678311573186889,16.77690593045323,18.240003915929826,-7.587402324186857
59,178.90652356606464,-44.03722732789313,-0.8541171734742132,-17.380657937958972,15.759772887250787,0.41658328629838026,15.93908723450279,18.403679368927182,-7.052499485909286
60,161.7051275789261,-37.119086592342065,1.5357029323342655,-19.058714987459467,15.420045333263491,6.585847702386471,18.358444046096213,18.271019211360024,-7.743921868755521
61,162.40182829797092,-39.56406369720722,-2.49427019498305,-19.015194525208784,17.468314968458134,4.314455083568591,18.353109818617614,18.368185860057643,-7.740063326183683
62,163.09185745643757,-41.25012325058154,2.6917411786370566,-17.35900785012768,13.134304028299077,2.516696954886254,17.309835529368023,15.957685294875784,-8.58201067423735
63,161.67783383178437,-36.594690585786196,2.2617679771388435,-20.269460322038913,16.386069574180866,4.829210423512745,17.72851727549732,17.241695446199916,-8.305968710017757
64,164.26505455624266,-40.87250550872539,0.7213421059023952,-17.465312650017864,20.010813759594026,4.215895327683757,19.181315484158777,16.745693493461722,-9.129901952500685
65,166.2283882849365,-40.750792103665674,-0.377525359499975,-11.055618534837961,14.087671224695152,0.8804571198613478,16.9483788268794,16.708383967163492,-6.489323508862677
66,159.84747944827643,-37.6393419129952,0.08247392008523935,-14.261063530916552,15.619846010794783,4.48668436089012,17.637718329316854,15.785143653551547,-8.424887264906106
67,160.980288339876,-37.417912797838596,-2.094260862772254,-19.03436108838604,15.945257439152154,2.6500205992414902,16.66170307701043,17.214357905991548,-9.637604771935937
68,163.0066144831181,-39.00155203828658,1.3494292066616556,-18.818718453133393,16.652150897341212,1.3212943493774065,16.96075744088721,16.728239450906695,-10.220382262608345
69,165.7120005109242,-39.33419179696684,-0.9966928513358972,-15.610275041843593,20.267337647203025,2.9359681934644932,16.463262624517036,18.36165998820549,-7.957744688031974
70,162.3723713800359,-37.98118064172119,0.5450317800584124,-14.689979363007389,15.118296207432818,3.2382122261340034,17.3868461875219,17.728831704418866,-6.035526784670898
71,164.54832084561764,-41.0263796688977,2.1149646801092663,-15.589880680305626,14.420372535341816,2.9947240690367054,17.86966717958837,17.63095492900541,-7.8267317445577955
72,151.82907649894878,-33.6958281468488,0.06907870019968776,-15.087205754626133,14.408449030562743,2.629836091985567,16.124296035914007,16.437140370225737,-7.800140901536443
73,153.25400025257284,-30.03459019218631,3.385694505224272,-16.79888068005088,11.589145047614602,2.2006492723365887,18.447702623542042,15.805002709866216,-9.634443226597476
74,156.2237899111471,-34.93478111237364,1.3270714137514066,-12.363417752006669,17.132869374869877,5.200804207866554,18.15196525191179,18.42134715722155,-8.455168026838509
75,165.34190485609665,-38.531308087630634,0.3615769920949363,-16.69287424413445,16.068586417105312,3.707464269286954,19.305491894302616,16.032155145097533,-9.035664365855933
76,163.85173890689134,-38.697250840218096,2.5487380400438058,-16.467359846751883,16.031027453784763,5.103042734197063,20.29077770588216,18.145786049437262,-10.700015469401926
77,159.47284130546103,-39.05582582784437,-2.5538278701336363,-14.116324995492793,17.878747837143997,2.749455603590337,19.243115285864214,15.59500998587807,-8.040008332999241
78,152.17614134618162,-31.7140874902323,2.2119801460869786,-17.113983643812,15.774393916895818,2.206823155079999,17.96863552438247,17.62161628865185,-6.855112851420764
79,151.0125390014602,-32.24798376982957,3.048707744680958,-16.397292892668712,15.857511299604578,1.2790865585647175,18.75715829783564,16.4616846563943,-8.013738067519444
80,154.81411893896376,-34.28375176538661,3.24541319051667,-15.875558723462888,15.261589914573403,4.2531047858396285,19.118272572134728,17.004499395609848,-8.274085907503782
81,160.7461773627969,-38.95434428290135,-0.10640397587008188,-13.062020360043949,13.961121674645222,1.4694591268273447,17.87268263455892,16.465913326796766,-9.801862693602144
82,153.22655927794995,-35.85861538022609,0.2271898266703074,-14.038565197397762,13.964695985380963,4.726160904751278,17.253097927311195,16.54936828171582,-8.947513473586453
83,154.3681592638365,-35.146742302456346,-0.8560312284523293,-17.524801836485114,16.652867517313,2.6243108113330114,17.06721908613727,17.62338700583534,-7.404573010786109
84,153.85084996152335,-34.18100875176273,-1.415831526934955,-17.789469218664774,15.10424891277957,2.637790320535521,17.84494888985092,17.034138871186308,-9.697136271895088
85,163.34720316069527,-39.40498821658002,5.859954731011961,-17.114340138365545,12.951753718744516,4.0359982228091305,17.10441156979615,17.310718749488778,-7.841513284446064
86,155.98126365919384,-37.649755133866876,3.7199706222701825,-15.788784051063608,15.79635460999016,5.673138785221277,16.654151689664484,17.81967452011606,-7.370654737069372
87,174.03942804811555,-40.250355219764074,1.1601763735448403,-16.73242715373769,15.884735959718963,1.7172826116820357,21.497552365918118,18.255702037205456,-6.6555954669549005
88,161.85359344934835,-37.3228099154169,1.2922568190520707,-17.35578310545125,12.478600937330231,2.587421226353635,18.82506747307134,15.817790584978667,-8.519572662358058
89,163.66598932857954,-37.41655141860825,-5.214529500066816,-18.969526833571777,19.098881912144385,3.5519628476949845,15.355118809743797,18.33930477504594,-7.643811037725364
90,163.1895465354062,-34.51389790113534,0.697092550908641,-15.509914480578946,15.532600642963834,-0.7597846429771735,19.01733710490153,18.357561465431438,-7.44454424817458
91,167.38982310688996,-38.53698932334822,-1.590340169562933,-19.37479681813988,18.722774491276958,5.00096055781893,19.314264511083508,17.828424282347996,-7.241562220232934
92,161.98014046627515,-33.382178938652714,-0.04177882240069186,-17.15088692970523,14.694187214558479,2.6878301799356734,18.580353715542593,17.32509556549345,-7.553641927386969
93,156.21283182497348,-34.08747402404815,0.34995560726558805,-15.902396576079909,15.598346186825538,2.9284309704186446,19.19025926142868,18.770484705090034,-6.167280097010649
94,161.4424918179879,-37.000591242469156,-3.5031848538680226,-13.418570714948014,15.209369894427596,4.5969112984823575,16.21834227668397,17.06423513507024,-7.650389933456131
95,162.34619679656885,-37.407752283119166,1.5734320056499187,-17.69713856875093,15.528614301445973,4.649841854245393,16.81206819472681,16.866386324618027,-8.054100631887962
96,162.55649231089572,-34.29436071256151,-2.2358722388235597,-15.820833892585078,18.390259071845346,2.4588786073175557,20.132652725800135,19.417306691436398,-6.888577756490652
97,159.41444607614008,-35.315922109979184,2.4881632665438724,-16.025079389389294,17.566857972046993,3.8461276746990696,18.24851389685756,17.757313383277864,-7.7238764067149255
98,164.76135245665128,-39.78992486546685,-9.544522645343775,-19.994853065891643,9.832333039239966,5.751950945701671,18.26933477342162,16.05371571426032,-6.623175992499126
99,162.69788622550593,-39.13446459627346,-0.32498091487665626,-13.751093346595393,16.15423470235122,3.083477374881278,17.260874079227506,18.41668834954166,-7.171053089357395
100,157.33615834487097,-31.32032708605024,-1.045324515832077,-20.359425723682627,14.939587532755738,2.418891159280434,19.810802554088518,17.59510545220298,-7.855159168242686
101,158.58906252556085,-32.88201753345065,0.33614937980410353,-14.213816360933642,15.12781358572414,5.1054365126662775,20.15662243894405,19.41088265224259,-7.668675171836473
102,161.22506179814982,-37.39204313794734,3.1928500422068327,-18.686413620343096,17.385088341919907,4.504126835792367,17.425711832400218,17.385810775257426,-5.9714243176917705
103,157.3119849607673,-34.54782523168215,-1.3646580401884996,-18.527263689850304,17.298444853857546,3.7790281325127633,18.242304312338227,17.81680821713872,-8.642788809524637
104,167.24764391167614,-38.74482788641846,-0.1379560059573104,-16.645965043956615,13.70256988194099,4.0148320369688575,18.259605897000792,18.913232554082757,-8.013979231794423